"call_number","creator","date","description","headerImage","identifier","subject","title"
"srlf_ucla:LAGE-2554237","","","Green paper over boards; white cloth backstrip, titled in blue ink by former owner. 38 woodcut emblems, some crudely hand-colored, mounted 2 per page in blank book; most emblems accompanied by caption title comprised of a word, phrase, or sentence.","","oldjuvenilewoodc00pilliala","Conduct of life,Emblem books, English","[Old juvenile woodcuts]"
"srlf_ucla:LAGE-511334","","","Publisher's printed yellow wrappers; upper wrapper printed in black, red, and silver-grey; publisher's advertisement on lower wrapper","","applepie00londiala","","A apple pie"
"","Greenaway, Kate, 1846-1901,Frederick Warne (Firm), publisher,Katherine Golden Bitting Collection on Gastronomy (Library of Congress) DLC","1900-00-00T00:00:00Z","This book introduces the letters A to Z while following the fortunes of an apple pie. <br /><br /><br /><img align=""left"" src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" />You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=greappl_00150034&summary=true&route=text"" rel=""nofollow""> read a copy of 'A Apple Pie'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a> a joint project of the Internet Archive and University Of Maryland.","","greappl","Nursery rhymes,Alphabet rhymes,Children's poetry,Nursery rhymes,Alphabet","A apple pie"
"srlf_ucla:LAGE-511335","","","The history of A apple pie -- Miss Pussycat's tea party -- This little pig went to market -- Nursery rhymes -- The three bears -- Little Red Riding-Hood","","applepieothernur00londiala","","A apple pie and other nursery tales : forty-eight pages of illustrations : printed in colours by Kronheim & Co"
"526165","1853-1914,Onfroy de Br 1858-1931, ill","","NY3","","abcpetitscontes001853","","A B C,"
"","Vtoraia, I.","2003-00-00T00:00:00Z","","","9780657132989","","A barn-epl"
"srlf_ucla:LAGE-732512","","","Gray-blue diagonally ribbed cloth over boards, blocked in blind; spine blocked in gold","","bitofsunshineill00newyiala","","A bit of sunshine : illustrated"
"","C J Dennis","1921-00-00T00:00:00Z","","","bookofk","","A book for kids"
"355601","Francis, J. G. (Joseph Greene), 1849-1930","1903-00-00T00:00:00Z","NY3","","bookofcheerfulca00fran","Nursery rhymes,Nursery rhymes,Cats -- Legends and stories","A book of cheerful cats and other animated animals"
"srlf_ucla:LAGE-746726","","","The fox and the cock -- The giant and the dwarf -- The partridge and her young -- The cock and the jewel -- The dog and the shadow -- The dog and the rat -- The beaver and the fly -- The peaches -- The canary-bird and the wasp -- The quarrel among the beasts -- The dog with his master's dinner -- The pigs","","bookoffables00bostiala","Conduct of life","A book of fables"
"","Fuller, Anna, 1853-1916","1905-00-00T00:00:00Z","Blythe Halliday's voyage.--Artful Madge.--The ideas of Polly.--Nannie's theatre party.--Olivia's sun-dial.--Bagging a grandfather","","bookfulofgirls00full","","A bookful of girls"
"","Wei, Xinglang","1987-00-00T00:00:00Z","A Mother weaves a magic brocade cloth for her son which flies away. The son rescues the cloth from fairies in a distant land. They return him home and everyone copies the pattern from the boy's mother. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=wxnbrcd_00220026&summary=true&route=text"" rel=""nofollow"">read a copy of 'A Brocade Of The Zhuang Nationality'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","wxnbrcd","","A brocade of the Zhuang nationality"
"","Hood, Tom, 1835-1874, ed","1865-00-00T00:00:00Z","The bunch of keys- the ring, by T.W. Robertson.--The key of the piano, by T. Archer.--The key of the strong room, by W.S. Gilbert.--The key of the nursery cupboard, by T. Hood.--The key of the study, by W.J. Prowse.--Three keys on a small ring of their own, by C.W. Scott.--The end, by T.W. Robertson","","bunchofkeyswhere00hood","Christmas stories","A bunch of keys; where they were found and what they might have unlocked. A Christmas book"
"","Stahl, P.-J., 1814-1886,Frølich, Lorenz, 1820-1908","1869-00-00T00:00:00Z","","","butterflychase00stah","Children's stories, French","A butterfly chase"
"srlf_ucla:LAGE-967764","","1819-00-00T00:00:00Z","Printed tan stiff wrappers","","catechismofhisto00daviiala","America -- History Juvenile literature,America -- Discovery and exploration Juvenile literature,United States -- History Juvenile literature","A catechism of the history of America : in two parts"
"233832","Canton, William, 1845-1926","","NY3","","childsbookofwarr00cant","Legends","A child's book of warriors"
"","Dickens, Charles, 1812-1870","1871-00-00T00:00:00Z","","","childsdreamofsta00dick2","","A child's dream of a star"
"","Stevenson, Robert Louis, 1850-1894","1895-00-00T00:00:00Z","A beautifully illustrated collection of rhyming children's poetry. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=stechil_00150042&summary=true&route=text"" rel=""nofollow"">read a copy of 'A Children's Garden Of Verses'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","stechil","Children's poetry","A child's garden of verses"
"257617","Clarke, Helen Archibald, 1926","1908-00-00T00:00:00Z","","","childsguidetomyt00clar","","A child's guide to mythology"
"b5501852","Caffin, Charles Henry, 1854-1918","1908-00-00T00:00:00Z","","","childsguidetopic00caff","Painting -- Study and teaching","A child's guide to pictures"
"551183","Macy, John Albert, 1877-1932","1909-00-00T00:00:00Z","","","childsguidetorea00macy","Books and reading for children,Children's literature","A child's guide to reading"
"","Dickens, Charles, 1812-1870,Bedford, F. D","1923-00-00T00:00:00Z","","","dicchri","Christmas stories","A Christmas carol"
"","Church, Ella Rodman, b. 1831","1855-00-00T00:00:00Z","","","christmaswreathf00chur","Christmas stories","A Christmas wreath, for little people"
"srlf_ucla:LAGE-889541","","","Osborne Coll.","","collectionoffabl00yorkiala","Conduct of life","A collection of fables, for the instruction and amusement of little misses and masters : adorned with cuts"
"srlf_ucla:LAGE-2009111","Kilner, Mary Ann, 1753-1831","","Part of half-title of v.1 cut away","","courselecturesfo00kilniala","Conduct of life,Christian life","A course of lectures, for Sunday evenings : containing religious advice to young persons"
"srlf_ucla:LAGE-2009112","Kilner, Mary Ann, 1753-1831","","Bound in 1 v","","courseoflectures00kilniala","Conduct of life,Christian life","A course of lectures, for Sunday evenings : containing religious advice to young persons"
"","(Robert Barnabas)","1852-00-00T00:00:00Z","","","UF00001955","Wit and humor,Bone,Pictorial cloth bindings (Binding),Christmas,Binder's tickets (Binding),English wit and humor,English drama (Comedy),Poetry,Fiction,Hand-colored illustrations,local","A cracker bon-bon for Christmas parties"
"srlf_ucla:LAGE-3044032","Semple, Elizabeth, fl. 1804-1816,Sandham, Elizabeth","1810-00-00T00:00:00Z","Osborne Coll.","","cupsweetsthatcan00sempiala","Children -- Conduct of life,Children's stories","A cup of sweets, that can never cloy: or, delightful tales for good children"
"srlf_ucla:LAGE-3044033","Semple, Elizabeth, fl. 1804-1816,Sandham, Elizabeth","1804-00-00T00:00:00Z","Moon, M. Harris(1992)","","cupofsweetstha00sempiala","Children -- Conduct of life,Children's stories","A cup of sweets, that can never cloy; or, Delightful tales for good children"
"srlf_ucla:LAGE-464528","A. R., fl. 1811","1811-00-00T00:00:00Z","NUC pre-1956","","curiousaccountof00arfliala","Fairs -- Great Britain,Children's poetry","A curious account of the origin of Fairlop Fair : with an entertaining description of the motley multitude who assemble on that occasion"
"srlf_ucla:LAGE-1502421","Geikie, Evelyn Cunningham","","Inscription in ink on free end paper, dated ""Christmas 1886""","","dayspleasureorha00geikiala","Children's stories","A day's pleasure; or, The half-holiday adventures of some little people"
"srlf_ucla:LAGE-1071246","","1806-00-00T00:00:00Z","Welch, D.A. Amer. children's books","","daysrambleinderb00philiala","Animal welfare,Conduct of life,Country life","A day's ramble in Derbyshire, or, The travels of Tommy Wilson and Billy Passmore : interspersed with observations and anecdotes : ornamented with six beautiful copper-plates"
"srlf_ucla:LAGE-1824554","Jauffret, L. F. (Louis François), 1770-1840","1818-00-00T00:00:00Z","A father's lessons to his children on natural history, science, man, etc","","fathersfirstless00jaufiala","Natural history,Science,Human beings","A father's first lessons, or, A day's instructive excursion : containing the first elements of useful knowledge"
"","Torrey, Bradford, 1843-1912","1894-00-00T00:00:00Z","","","UF00000609","Birds -- Florida,Florida -- Description and travel","A Florida sketch-book"
"srlf_ucla:LAGE-1048627","Coybee, Eden,Benson, Nellie,Evans, Edmund, 1826-1905","1901-00-00T00:00:00Z","Gumuchian","","flowerbook00coybiala","","A flower book"
"","Lee, Alice Louise, 1868-","1914-00-00T00:00:00Z","","","freshmancoed00leea","","A freshman co-ed"
"","Garshin, V. M.","2001-00-00T00:00:00Z","","","9780657042523","Shul biblioe","A frosh - a rayzndern"
"","Chaver-Paver","2001-00-00T00:00:00Z","","","9780657129934","Shul-eaer","A geshef hob ikh!"
"","Gilman, Caroline Howard, 1794-1888","1850-00-00T00:00:00Z","","","giftbookofstorie00gilm","Gift books","A gift book of stories and poems for children"
"srlf_ucla:LAGE-2728290","Paulding, James Kirke, 1778-1860","","Fiorella, or The fairy of the rainbow -- The philosopher and the fairy ring -- The hunchback and the beauty -- The nameless old woman","","giftfromfairylan00pauliala","","A gift from fairy land"
"srlf_ucla:LAGE-1528595","","1834-00-00T00:00:00Z","The original American -- The fox -- The Ten Commandments -- The Hottentots -- The English -- The Chinese","","goodbook00newpiala","Conduct of life,Manners and customs","A good book"
"","Church, Ella Rodman","1851-00-00T00:00:00Z","","","UF00001812","Pride and vanity,Conduct of life,Arlington, Amy Chesbury,,Mrs,Curiosity,Girls,Grandmothers,Juvenile literature,Family,Family stories,Biographies,local,Embossed cloth bindings (Binding)","A grandmother's recollections"
"","Ewing, Juliana Horatia Gatty, 1841-1885","1886-00-00T00:00:00Z","","","greatemergencyot00ewin4","","A great emergency, and other tales"
"","Yip, Y. C.","1992-00-00T00:00:00Z","An eagle egg was placed with a nest of chicken eggs a very lazy mother eagle. When the eaglet was born, it did not know it was different from other chickens. The mother hen treated it as one of her own. One day, she decided to let him know he was an eaglet, not a chicken, but the little eaglet did not believe her. He didn't think he could fly like an eagle so he must be a chicken! <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>This book will be available shortly on the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland. </td> </tr></table>","","yiphene","","A Hen And An Eaglet"
"srlf_ucla:LAGE-3309836","Tourtel, Mary,Evans, Edmund, 1826-1905","1901-00-00T00:00:00Z","Pale green striped cloth over boards; inscription on upper fly leaf","","horsebook00touriala","","A horse book"
"srlf_ucla:LAGE-2830092","Robinson, Mary S. (Mary Stephens), d. 1909","","Publisher's green sand grain cloth over boards, blocked in blind; spine blocked in gold; yellow endpapers","","householdstoryof00robiiala","United States -- History Civil War, 1861-1865 Juvenile fiction","A household story of the American conflict : forward with the flag"
"","Ellis, Edward Sylvester, 1840-1916,Prittie, Edwin J","","","","huntonsnowshoes00elli","Children's stories, Canadian","A hunt on snow shoes"
"","Skuditzki, Z.","2003-00-00T00:00:00Z","","","9780657132477","","A khaer in shlakh"
"335967","Fabre, Aristide,Job, 1858-1931","","NY3","","lagloire00fabr","Animals","A la gloire"
"","Alma Flor Ada","1988-00-00T00:00:00Z","To learn by singing and reciting poems is what this book offers to children and teachers. Children can amuse themselves with the real and imaginary stories included in this collection. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>This book will be available shortly on the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland. </td> </tr></table>","","adalsmb","","A La Sombra De Un Ala"
"","Barnes, Annie Maria, b. 1857","1904-00-00T00:00:00Z","","","lassofdorchester00barn","","A lass of Dorchester"
"","Lurye, Noe","2001-00-00T00:00:00Z","","","9780657111939","","A libe bam yam :"
"","Douglas, Amanda Minnie, 1831-1916","1896-00-00T00:00:00Z","","","littlegirlinoldn00doug","New York (N.Y.) -- History 1775-1865 Fiction","A little girl in old New York"
"srlf_ucla:LAGE-2231288","","1828-00-00T00:00:00Z","Gumuchian","","littlegirltoherf00londiala","Flowers,Children's poetry","A Little girl to her flowers : in verse"
"","Curtis, Alice Turner","1915-00-00T00:00:00Z","","","littlemaidofmass00curt","","A little maid of Massachusetts colony .."
"srlf_ucla:LAGE-2231411","","","The ox -- The cow -- The horse -- The cat -- The dog -- The sheep","","littlepresent00greeiala","Animals","A little present"
"srlf_ucla:LAGE-2231412","","1846-00-00T00:00:00Z","Publisher's printed buff wrappers; woodcut ills. on upper and lower wrappers","","littlepresentfor00greeiala","Animals","A little present : for a good child"
"","Ogden, Ruth, 1853-1927","","","","littlequeenofhea00ogde","","A little queen of hearts; an international story"
"srlf_ucla:LAGE-2231479","","","Publisher's cream wrappers, printed in blue. Illustrations on upper and lower wrappers","","littlestoryforli00greeiala","Phobias,Dogs","A little story for a little boy"
"","G.A. Henty","1911-00-00T00:00:00Z","A historical fiction story based on the uprising of the commoners in London during the late 14th and early 15th centuries. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>You can also <a href=""http://www.icdlbooks.org:8080/servlet/BookPreview?bookid=henmarc_00150040&summary=true&route=text"" rel=""nofollow"">read a copy of 'A March On London'</a> by going to the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland.</td> </tr></table>","","henmarc","","A March On London"
"","Hirschbein, Peretz","2001-00-00T00:00:00Z","","","9780657128326","","A maye mi a ber"
"","Andersen, H. C.","2001-00-00T00:00:00Z","","","9780657128807","inder biblioe","A mayele :"
"","Utkin, Iosif","2003-00-00T00:00:00Z","","","9780657129798","","A mayele min geln Moele :"
"","Levin, Chane","2001-00-00T00:00:00Z","","","9780657042356","","A maysele egn a feld-gandz, a lerkhe un a susli"
"srlf_ucla:LAGE-1775957","Hughs, Mrs. (Mary)","","Osborne Coll.","","motherscarerewar00hughiala","Moral education","A mother's care rewarded : in the correction of those defects most general in young people, during their education"
"srlf_ucla:LAGE-738458","Blue Beard,Perrault, Charles, 1628-1703,Gaffer Black Beard","1810-00-00T00:00:00Z","Original printed buff wrappers; covers noted in Welch are wanting","","newhistoryofblue00blueiala","Curiosity","A new history of Blue Beard"
"srlf_ucla:LAGE-4723518","Gaffer Blackbeard,Perrault, Charles, 1628-1703","1806-00-00T00:00:00Z","Shaw & Shoemaker","","newhistoryofblue00gaffiala","Fairy tales","A new history of Blue Beard"
"srlf_ucla:LAGE-1834516","Johnson, R. (Richard), 1733 or 4-1793","1794-00-00T00:00:00Z","Weedon, M.J.P. Richard Johnson and the successors to John Newbery (The Library, 5th ser., v. 4, no. 1, June 1949, 25-63)","","newhistoryofgrec00johniala","Greece -- History To 146 B.C","A new history of the Grecian states, from their earliest period to their extinction by the Ottomans ; containing an account of their most memorable sieges and battles ; and the character and exploits of their most celebrated heroes, orators, and philosophers ; embellished with copper-plate cuts ; designed for the use of young ladies and gentlemen"
"","Chan, S. K.","1990-00-00T00:00:00Z","Two little girls were best friends. They went to school together and talked to each other after school. One day, they passed a shop and saw a beautiful hairclip inside the window. On Christmas day, they exchanged presents. Oh! They got the same present for each other, that hairclip! Now, they looked like two real sisters.<br /><br /><br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>This book will be available shortly on the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland. </td> </tr></table>","","chnpair","","A Pair Of Hariclips"
"srlf_ucla:LAGE-3165738","Teller, Thomas, 1804-1872,Purcell, Edward B","","Beige printed wrappers, with publisher's ad on lower wrapper","","parentsofferingo00telliala","Brothers and sisters -- Conduct of life","A parent's offering; or, My mother's story of her own home and childhood"
"srlf_ucla:LAGE-3600806","Witt, Madame de (Henriette Elizabeth), 1829-1908,Craik, Dinah Maria Mulock, 1826-1887","1871-00-00T00:00:00Z","Wolff, R.L. 19th cent. fiction","","parisianfamily00wittiala","","A Parisian family"
"","(Francis Channing)","","","","UF00002073","Animal behavior,Animals,Pictorial cloth bindings (Binding),Juvenile literature,Juvenile literature.,Animal welfare","A peep at the beasts"
"srlf_ucla:LAGE-2731859","Lady","1825-00-00T00:00:00Z","Gumuchian","","peepatesquimauxo00ladyiala","Eskimos","A peep at the Esquimaux, or, Scenes on the ice : to which is annexed A Polar pastoral"
"srlf_ucla:LAGE-3560653","Walton, Amy Catherine Deck, 1849-1939,Religious Tract Society (Great Britain)","","Blue cloth over bevelled boards, blocked in green, black, and gol d","","peepbehindscenes00waltiala","","A peep behind the scenes"
"srlf_ucla:LAGE-2616441","","","Welch, D.A. Amer.Children's books","","picturebookforli00philiala","Picture books for children -- United States","A picture book for little children"
"srlf_ucla:LAGE-2750172","","","Osborne Coll.","","picturebookofmer00londiala","Picture books for children,Children's stories","A picture-book of merry tales"
"srlf_ucla:LAGE-2758054","","1811-00-00T00:00:00Z","Welch, D.A. Amer. children's books","","pleasingtoy00newyiala","Children's poetry","A pleasing toy"
"","Newcomb, Harvey","","","","UF00001835","Conduct of life,Young women,Brothers and sisters,Juvenile literature,Christian life,Embossed cloth bindings (Binding)","A practical directory for young Christian females"
"srlf_ucla:LAGE-1066280","Darton, William, 1755-1819","1813-00-00T00:00:00Z","Publisher's tan printed stiff wrappers; publisher's advertisement on lower wrapper. Several pages torn; repaired","","apresentforalitt00dartiala","Animals,Boys -- Conduct of life,Children -- Conduct of life","A present for a little boy"
"srlf_ucla:LAGE-1066277","Darton, William, 1755-1819","1825-00-00T00:00:00Z","Osborne Coll.","","presentforalittl00dartiala","Animals,Boys -- Conduct of life,Children -- Conduct of life","A present for a little boy"
"srlf_ucla:LAGE-1066285","Darton, William, 1755-1819","","Blue and pink marbled stiff wrappers. Added, illustrated wrappers","","presentforlittle00dartiala","Animals,Boys -- Conduct of life,Children -- Conduct of life","A present for a little boy"
"srlf_ucla:LAGE-2774106","","1819-00-00T00:00:00Z","Marbled stiff wrappers. Paper label on upper wrapper. Ex libris Olive Percival","","presentforinfant00londiala","Animals,Picture books for children,Country life","A present for infants, or, Pictures for the nursery"
"srlf_ucla:LAGE-2774109","","1819-00-00T00:00:00Z","Welch, D.A. Amer. children's books","","presentforsabbat00linciala","Christian life,Conduct of life","A Present for Sabbath school children"
"srlf_ucla:LAGE-2774113","Anderson, Alexander, 1775-1870","","On obedience -- Village green -- Happy children -- Venturesome boy -- A little girl on fire -- The fall -- The cruel boy -- Giving of alms -- The ferryman -- Mischievous boy -- A new book -- The afrightened girl -- Sheep and their lambs -- Hard hearted boy -- I'll have them -- Bathing -- Benjamin Franklin -- Grand experiment -- Coach -- The little husbandman -- Sloop -- Steamboat -- The cat -- The flowers -- The bee -- The duck and goose -- The anxious bird -- The Bible","","presentfromnewyo00andeiala","Conduct of life,Conduct of life","A present from New-York : containing many pictures worth seeing, and some things worth remembering"
"srlf_ucla:LAGE-2774924","New York Religious Tract Society","","Ex libris Elvah Karshner","","prettypictureboo00newyiala","Religious life,Religious life","A pretty picture book"
"srlf_ucla:LAGE-2998226","S. W., fl. 1801-1820?","1810-00-00T00:00:00Z","Quarter red sheep and grey paper over boards; spine tooled in gold and lettered: Puzzle; sprinkled edges","","puzzlecuriousgir00swfliala","Curiosity in children,Conduct of life,Girls","A puzzle for a curious girl"
"srlf_ucla:LAGE-2998227","S. W., fl. 1801-1820?","1806-00-00T00:00:00Z","Osborne Coll.","","puzzleforacuriou00swfliala","Curiousity in children,Conduct of life,Girls","A puzzle for a curious girl"
"srlf_ucla:LAGE-2998224","S. W., fl. 1801-1820?","1819-00-00T00:00:00Z","Moon, M. Tabart","","puzzleforcurious00mooniala","Curiosity,Conduct of life,Girls -- Conduct of life","A puzzle for a curious girl"
"srlf_ucla:LAGE-2998223","S. W., fl. 1801-1820?","","Half blue calf and nonpareil marbled paper over boards, tooled in blind; spine tooled and lettered in gold: A puzzle; sprinkled edges; light brown endpapers","","puzzleforcurious00soutiala","Curiosity in children,Conduct of life,Girls","A puzzle for a curious girl"
"srlf_ucla:LAGE-2998228","S. W., fl. 1801-1820?","1803-00-00T00:00:00Z","Gumuchian","","puzzleforcurious00swfliala","Curiosity in children,Conduct of life,Girls","A puzzle for a curious girl"
"","Lee, P. F. ; Yeung, L. S.","1990-00-00T00:00:00Z","Two little rabbits were born into a rabbit family. It was strange that one of the rabbits had short ears. Because it looked different, it had a very low self-image and did not work hard to learn how to speak. One night, a fire broke out in their village. The short-eared rabbit helped to fight the fire and make the villagers safe. After the fire, the short-eared rabbit realized its strength even though it looked different from all the other rabbits. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>This book will be available shortly on the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland. </td> </tr></table>","","leerbbt","","A Rabbit With Short Ears"
"","Castlemon, Harry, 1842-1915","1897-00-00T00:00:00Z","","","rebellionindixie00cast","","A rebellion in Dixie"
"","Otis, James, 1848-1912","","","","runawaybrigoracc00otis","","A runaway brig; or, An accidental cruise"
"651689","Patri, Angelo, b. 1876","","","","schoolmasterofgr00patr","Teaching","A schoolmaster of the great city"
"srlf_ucla:LAGE-2546284","Oakman, John, 1748?-1793","","The illustrations are hand-colored","","secondholidayfor00oakmiala","","A second holiday for John Gilpin, or, A voyage to Vauxhall : where, though he had better luck than before, he was far from being contented"
"srlf_ucla:LAGE-3042065","Bewick, Thomas, 1753-1828","","Special Collections copy 1: Quarter brown roan and marbled paper over boards. In case. Bound with: Mother Bunch's fairy tales / by Mother Bunch. Glasgow : Published by J. Lumsden and Son, 1814","","selectionofstor00bewiiala","Moral education,Conduct of life","A Selection of stories; containing The history of the two sisters, The fisherman, The king and fairy ring, and Honesty rewarded. Embellished with copperplates"
"","Ignatoff, David","2003-00-00T00:00:00Z","","","9780657133931","Gold un zilber un brilyanen","A sheel :"
"","Otis, James, 1848-1912","","","","shortcruise00otis","Authors, American -- Maine","A short cruise"
"srlf_ucla:LAGE-2282911","[Martin, Selina]","1833-00-00T00:00:00Z","Original brown cloth with white paper label on spine","","sistersstories00martiala","Insects,Insect societies","A sister's stories"
"","K K Lo, N M Cheung, T T Lam","1999-00-00T00:00:00Z","Story 1 (A small date tree): Through describing the growth process of a small date tree, the reader was told that our living could not have the regret and we should struggle for our target. Finally, we could have a better life.<br /><br /> Story 2 (Returning the green grass) A bullfight was having a faith to die in the coliseum. He escaped from the accident and struggled back to the green grass, which he had lived for few days with a little girl. He felt the care from the human and enjoyed his living on the green grass.<br /><br /> Story 3 (The absconding of the button) A black button was fixed in the new jacket of a little girl, who always took the jacket off forcibly and the black button disliked very much. One day, the jacket was dirty and was placed inside a washing machine for washing. During the washing process, black button fled and enjoyed freedom. After several encounters, the black button finally realized everyone should have its own post and duties. <br /><br /><br /><table><tr><td><img src=""http://www.archive.org/images/icdllogo.jpg"" alt=""icdllogo.jpg"" /></td> <td>This book will be available shortly on the <a href=""http://www.icdlbooks.org"" rel=""nofollow"">International Children's Digital Library</a>, a joint project of the Internet Archive and University Of Maryland. </td> </tr></table>","","loosmll","","A Small Date Tree"
"","Driscoll, Katherine Elizabeth, 1867-","","","","storyfromphilipp00dris","","A story from the Philippines"
